DATAID,CONC,H0,H24,H48,H72
1,0.001,5000,29500,231000,1680000
2,0.001,5000,30200,241000,1790000
3,0.001,5000,29800,237000,1720000
4,0.001,5000,31200,259000,1970000
5,0.001,5000,30500,259000,1910000
6,0.001,5000,30400,235000,1640000
7,0.008,5000,25000,201000,1660000
8,0.008,5000,24500,213000,1930000
9,0.008,5000,26900,228000,2010000
10,0.01,5000,27200,223000,2120000
11,0.01,5000,24900,228000,2140000
12,0.01,5000,26300,196000,1770000
13,0.02,5000,24400,195000,1630000
14,0.02,5000,22200,182000,1690000
15,0.02,5000,25700,209000,1830000
16,0.04,5000,10800,64900,550000
17,0.04,5000,10800,59400,526000
18,0.04,5000,11700,59300,515000
19,7.16,5000,4280,4580,14800
20,7.16,5000,2420,1920,4150
21,7.16,5000,2850,1350,5330
